unit,base,witness,reading,tier,major,minor
322,οπτασιαν,24,οστασιαν,mechanical,mechanical,single-letter-slip
324,εωρακεναι,24,ευρακεναι,mechanical,mechanical,single-letter-slip
325,οι,24,α,mechanical,mechanical,minor-corruption
330,απηλθον,12,απελθον,mechanical,mechanical,single-letter-slip
330,απηλθον,24,απελθου,mechanical,mechanical,minor-corruption
334,συν,24,ουν,mechanical,mechanical,single-letter-slip
350,ο,24,[om],substantive,substantive,omission
351,δε,24,οδε,mechanical,mechanical,minor-corruption
356,ανοητοι,24,ανουτοι,orthographic,orthographic,vowel-interchange
365,οι,24,ος,mechanical,mechanical,minor-corruption
366,προφηται,24,προφητας,mechanical,mechanical,single-letter-slip
376,την,24,τον,mechanical,mechanical,single-letter-slip
380,ην,24,[om],substantive,substantive,omission
381,αρξαμενος,24,ηvαρξαμενος,substantive,substantive,lexical-substitution
382,απο,12,αυτο,mechanical,mechanical,minor-corruption
382,απο,24,αυ,mechanical,mechanical,minor-corruption
384,και,12,κα,mechanical,mechanical,single-letter-slip
389,αυτοις,12,αυτοιι,mechanical,mechanical,single-letter-slip
391,ταις,24,τοις,mechanical,mechanical,single-letter-slip
395,αυτου·,12,αυτου,mechanical,mechanical,single-letter-slip
395,αυτου·,24,[om],substantive,substantive,omission
396,και,24,[om],substantive,substantive,omission
397,ηγγισαν,24,[om],substantive,substantive,omission
398,εις,24,[om],substantive,substantive,omission
399,την,24,[om],substantive,substantive,omission
400,κωμην,24,[om],substantive,substantive,omission
401,ου,24,[om],substantive,substantive,omission
402,επορευοντο,24,[om],substantive,substantive,omission
403,και,24,[om],substantive,substantive,omission
404,αυτος,24,[om],substantive,substantive,omission
405,προσεποιησατο,24,αυτου,substantive,substantive,lexical-substitution
56,[+],12,εν,substantive,substantive,addition
257,[+],12,του,substantive,substantive,addition
185,[+],22,συν,substantive,substantive,addition
16,[+],23,εχογι,substantive,substantive,addition
59,[+],23,λ,substantive,substantive,addition
105,[+],23,εμι,substantive,substantive,addition
110,[+],23,υστοσιρε,substantive,substantive,addition
93,[+],24,παρα,substantive,substantive,addition
209,[+],24,αντι,substantive,substantive,addition
270,[+],24,η,substantive,substantive,addition
21,[+],32,αιρα,substantive,substantive,addition
95,[+],32,χει,substantive,substantive,addition
